Losses: 
200 of 468 | Loss: 0.1890731304883957
201 of 468 | Loss: 0.18664853274822235
202 of 468 | Loss: 0.18276779353618622
203 of 468 | Loss: 0.17655716836452484
204 of 468 | Loss: 0.16570919752120972
205 of 468 | Loss: 0.17425954341888428
206 of 468 | Loss: 0.17681710422039032
207 of 468 | Loss: 0.17783787846565247
208 of 468 | Loss: 0.1839635819196701
209 of 468 | Loss: 0.17263513803482056
210 of 468 | Loss: 0.17336635291576385
211 of 468 | Loss: 0.17457160353660583
212 of 468 | Loss: 0.17858551442623138
213 of 468 | Loss: 0.17777054011821747
214 of 468 | Loss: 0.17744705080986023
215 of 468 | Loss: 0.16656213998794556
216 of 468 | Loss: 0.16956287622451782
217 of 468 | Loss: 0.167622372508049
218 of 468 | Loss: 0.17490071058273315
219 of 468 | Loss: 0.1700485199689865
220 of 468 | Loss: 0.1695544719696045
221 of 468 | Loss: 0.16266107559204102
222 of 468 | Loss: 0.1633196473121643
223 of 468 | Loss: 0.17288300395011902
224 of 468 | Loss: 0.1700337529182434
225 of 468 | Loss: 0.1603558361530304
226 of 468 | Loss: 0.1656651496887207
227 of 468 | Loss: 0.16551072895526886
228 of 468 | Loss: 0.16837649047374725
229 of 468 | Loss: 0.1640530675649643
230 of 468 | Loss: 0.1707950085401535
231 of 468 | Loss: 0.16065427660942078
232 of 468 | Loss: 0.15594549477100372
233 of 468 | Loss: 0.1781207025051117
234 of 468 | Loss: 0.1593760848045349
235 of 468 | Loss: 0.1706436574459076
236 of 468 | Loss: 0.16756486892700195
237 of 468 | Loss: 0.1591760516166687
238 of 468 | Loss: 0.15801097452640533
239 of 468 | Loss: 0.16563908755779266
240 of 468 | Loss: 0.1621139794588089
241 of 468 | Loss: 0.16079875826835632
242 of 468 | Loss: 0.161998450756073
243 of 468 | Loss: 0.1559433937072754
244 of 468 | Loss: 0.1643168032169342
245 of 468 | Loss: 0.16100338101387024
246 of 468 | Loss: 0.16071832180023193
247 of 468 | Loss: 0.15755711495876312
248 of 468 | Loss: 0.15473076701164246
249 of 468 | Loss: 0.15390408039093018
250 of 468 | Loss: 0.1566287875175476
251 of 468 | Loss: 0.17064112424850464
252 of 468 | Loss: 0.15649253129959106
253 of 468 | Loss: 0.15488463640213013
254 of 468 | Loss: 0.1600971221923828
255 of 468 | Loss: 0.1529792845249176
256 of 468 | Loss: 0.15028372406959534
257 of 468 | Loss: 0.15665462613105774
258 of 468 | Loss: 0.17841951549053192
259 of 468 | Loss: 0.1644984781742096
260 of 468 | Loss: 0.17320263385772705
261 of 468 | Loss: 0.1591666042804718
262 of 468 | Loss: 0.16725954413414001
263 of 468 | Loss: 0.16189323365688324
264 of 468 | Loss: 0.1556784212589264
265 of 468 | Loss: 0.16494876146316528
266 of 468 | Loss: 0.1623937487602234
267 of 468 | Loss: 0.15464255213737488
268 of 468 | Loss: 0.15707525610923767
269 of 468 | Loss: 0.15396961569786072
270 of 468 | Loss: 0.14758650958538055
271 of 468 | Loss: 0.16797523200511932
272 of 468 | Loss: 0.15385250747203827
273 of 468 | Loss: 0.15012308955192566
274 of 468 | Loss: 0.15834933519363403
275 of 468 | Loss: 0.15623171627521515
276 of 468 | Loss: 0.158727765083313
277 of 468 | Loss: 0.16326650977134705
278 of 468 | Loss: 0.1541319340467453
279 of 468 | Loss: 0.1483628749847412
280 of 468 | Loss: 0.16821035742759705
281 of 468 | Loss: 0.14931464195251465
282 of 468 | Loss: 0.14891552925109863
283 of 468 | Loss: 0.1609714925289154
284 of 468 | Loss: 0.15101024508476257
285 of 468 | Loss: 0.14254513382911682
286 of 468 | Loss: 0.14299140870571136
287 of 468 | Loss: 0.15103772282600403
288 of 468 | Loss: 0.15606027841567993
289 of 468 | Loss: 0.1494220495223999
290 of 468 | Loss: 0.14981505274772644
291 of 468 | Loss: 0.1434357613325119
292 of 468 | Loss: 0.15232981741428375
293 of 468 | Loss: 0.14799028635025024
294 of 468 | Loss: 0.15539801120758057
295 of 468 | Loss: 0.1546965092420578
296 of 468 | Loss: 0.14929594099521637
297 of 468 | Loss: 0.16658161580562592
298 of 468 | Loss: 0.1497897207736969
299 of 468 | Loss: 0.15365521609783173
300 of 468 | Loss: 0.14740216732025146
301 of 468 | Loss: 0.15346607565879822
302 of 468 | Loss: 0.15546831488609314
303 of 468 | Loss: 0.146198570728302
304 of 468 | Loss: 0.1462063491344452
305 of 468 | Loss: 0.1507895141839981
306 of 468 | Loss: 0.14156578481197357
307 of 468 | Loss: 0.1469534933567047
308 of 468 | Loss: 0.14518515765666962
309 of 468 | Loss: 0.1466863602399826
310 of 468 | Loss: 0.1454516351222992
311 of 468 | Loss: 0.1465267837047577
312 of 468 | Loss: 0.14059403538703918
313 of 468 | Loss: 0.14262044429779053
314 of 468 | Loss: 0.1555379331111908
315 of 468 | Loss: 0.13878574967384338
316 of 468 | Loss: 0.14576618373394012
317 of 468 | Loss: 0.14947062730789185
318 of 468 | Loss: 0.13809403777122498
319 of 468 | Loss: 0.1473306119441986
320 of 468 | Loss: 0.14575281739234924
321 of 468 | Loss: 0.13515302538871765
322 of 468 | Loss: 0.1378522515296936
323 of 468 | Loss: 0.13375398516654968
324 of 468 | Loss: 0.13819611072540283
325 of 468 | Loss: 0.14964061975479126
326 of 468 | Loss: 0.14327113330364227
327 of 468 | Loss: 0.14210247993469238
328 of 468 | Loss: 0.1476554274559021
329 of 468 | Loss: 0.14184966683387756
330 of 468 | Loss: 0.15359047055244446
331 of 468 | Loss: 0.13503745198249817
332 of 468 | Loss: 0.14961528778076172
333 of 468 | Loss: 0.14758610725402832
334 of 468 | Loss: 0.133149653673172
335 of 468 | Loss: 0.13706813752651215
336 of 468 | Loss: 0.1397598683834076
337 of 468 | Loss: 0.13507947325706482
338 of 468 | Loss: 0.1444447934627533
339 of 468 | Loss: 0.15224924683570862
340 of 468 | Loss: 0.14249880611896515
341 of 468 | Loss: 0.14403986930847168
342 of 468 | Loss: 0.1527540683746338
343 of 468 | Loss: 0.1558282971382141
344 of 468 | Loss: 0.13525748252868652
345 of 468 | Loss: 0.13143625855445862
346 of 468 | Loss: 0.15153807401657104
347 of 468 | Loss: 0.141387939453125
348 of 468 | Loss: 0.14395186305046082
349 of 468 | Loss: 0.15061745047569275
350 of 468 | Loss: 0.14471179246902466
351 of 468 | Loss: 0.1431492418050766
352 of 468 | Loss: 0.1367655098438263
353 of 468 | Loss: 0.13753041625022888
354 of 468 | Loss: 0.13433781266212463
355 of 468 | Loss: 0.13985848426818848
356 of 468 | Loss: 0.14262685179710388
357 of 468 | Loss: 0.14088115096092224
358 of 468 | Loss: 0.1578887403011322
359 of 468 | Loss: 0.13360938429832458
360 of 468 | Loss: 0.13543501496315002
361 of 468 | Loss: 0.13516728579998016
362 of 468 | Loss: 0.1376592516899109
363 of 468 | Loss: 0.14589856564998627
364 of 468 | Loss: 0.13461408019065857
365 of 468 | Loss: 0.13842828571796417
366 of 468 | Loss: 0.14603234827518463
367 of 468 | Loss: 0.13891969621181488
368 of 468 | Loss: 0.1445043385028839
369 of 468 | Loss: 0.1365581452846527
370 of 468 | Loss: 0.13958285748958588
371 of 468 | Loss: 0.15429268777370453
372 of 468 | Loss: 0.1519431173801422
373 of 468 | Loss: 0.15036149322986603
374 of 468 | Loss: 0.13066188991069794
375 of 468 | Loss: 0.12845012545585632
376 of 468 | Loss: 0.15318582952022552
377 of 468 | Loss: 0.13340400159358978
378 of 468 | Loss: 0.14145177602767944
379 of 468 | Loss: 0.13613605499267578
380 of 468 | Loss: 0.14346620440483093
381 of 468 | Loss: 0.14572033286094666
382 of 468 | Loss: 0.1278616189956665
383 of 468 | Loss: 0.12865617871284485
384 of 468 | Loss: 0.13869832456111908
385 of 468 | Loss: 0.13685168325901031
386 of 468 | Loss: 0.13485564291477203
387 of 468 | Loss: 0.13346333801746368
388 of 468 | Loss: 0.14070044457912445
389 of 468 | Loss: 0.1303713023662567
390 of 468 | Loss: 0.14375849068164825
391 of 468 | Loss: 0.1417587399482727
392 of 468 | Loss: 0.1337621808052063
393 of 468 | Loss: 0.13461439311504364
394 of 468 | Loss: 0.12888853251934052
395 of 468 | Loss: 0.12917126715183258
396 of 468 | Loss: 0.14273333549499512
397 of 468 | Loss: 0.12284033000469208
398 of 468 | Loss: 0.13904091715812683
399 of 468 | Loss: 0.13208001852035522
400 of 468 | Loss: 0.13302241265773773
401 of 468 | Loss: 0.1309933215379715
402 of 468 | Loss: 0.16379964351654053
403 of 468 | Loss: 0.14250801503658295
404 of 468 | Loss: 0.13788853585720062
405 of 468 | Loss: 0.13784156739711761
406 of 468 | Loss: 0.1286446452140808
407 of 468 | Loss: 0.135203555226326
408 of 468 | Loss: 0.13744595646858215
409 of 468 | Loss: 0.14670339226722717
410 of 468 | Loss: 0.1373908668756485
411 of 468 | Loss: 0.12757554650306702
412 of 468 | Loss: 0.14097635447978973
413 of 468 | Loss: 0.132156640291214
414 of 468 | Loss: 0.13286516070365906
415 of 468 | Loss: 0.1474522352218628
416 of 468 | Loss: 0.12589167058467865
417 of 468 | Loss: 0.13621817529201508
418 of 468 | Loss: 0.1355285942554474
419 of 468 | Loss: 0.1432473510503769
420 of 468 | Loss: 0.12922310829162598
421 of 468 | Loss: 0.13812117278575897
422 of 468 | Loss: 0.15856239199638367
423 of 468 | Loss: 0.14143794775009155
424 of 468 | Loss: 0.1310219019651413
425 of 468 | Loss: 0.1352175921201706
426 of 468 | Loss: 0.13565628230571747
427 of 468 | Loss: 0.1474890112876892
428 of 468 | Loss: 0.13227567076683044
429 of 468 | Loss: 0.12780164182186127
430 of 468 | Loss: 0.12766653299331665
431 of 468 | Loss: 0.12623745203018188
432 of 468 | Loss: 0.131139874458313
433 of 468 | Loss: 0.14861664175987244
434 of 468 | Loss: 0.14623014628887177
435 of 468 | Loss: 0.13631807267665863
436 of 468 | Loss: 0.13899531960487366
437 of 468 | Loss: 0.1301281899213791
438 of 468 | Loss: 0.1533198207616806
439 of 468 | Loss: 0.13981546461582184
440 of 468 | Loss: 0.13096633553504944
441 of 468 | Loss: 0.13695232570171356
442 of 468 | Loss: 0.13992497324943542
443 of 468 | Loss: 0.12677671015262604
444 of 468 | Loss: 0.12553934752941132
445 of 468 | Loss: 0.1345212310552597
446 of 468 | Loss: 0.12893275916576385
447 of 468 | Loss: 0.13211733102798462
448 of 468 | Loss: 0.1234794557094574
449 of 468 | Loss: 0.13794641196727753
450 of 468 | Loss: 0.1420135200023651
451 of 468 | Loss: 0.13140031695365906
452 of 468 | Loss: 0.1369796097278595
453 of 468 | Loss: 0.13442029058933258
454 of 468 | Loss: 0.13587214052677155
455 of 468 | Loss: 0.14402541518211365
456 of 468 | Loss: 0.13760054111480713
457 of 468 | Loss: 0.13276731967926025
458 of 468 | Loss: 0.13453581929206848
459 of 468 | Loss: 0.13007567822933197
460 of 468 | Loss: 0.13375435769557953
461 of 468 | Loss: 0.12969064712524414
462 of 468 | Loss: 0.13707348704338074
463 of 468 | Loss: 0.12127494812011719
464 of 468 | Loss: 0.12756995856761932
465 of 468 | Loss: 0.13545452058315277
466 of 468 | Loss: 0.1284874975681305
467 of 468 | Loss: 0.13325411081314087
0 of 468 | Loss: 0.1321561485528946
1 of 468 | Loss: 0.13034288585186005
2 of 468 | Loss: 0.13905499875545502
3 of 468 | Loss: 0.1344732642173767
4 of 468 | Loss: 0.1260356605052948
5 of 468 | Loss: 0.12497532367706299
6 of 468 | Loss: 0.12396606057882309
7 of 468 | Loss: 0.12434964627027512
8 of 468 | Loss: 0.13035669922828674
9 of 468 | Loss: 0.1315900981426239
10 of 468 | Loss: 0.14654922485351562
11 of 468 | Loss: 0.12875428795814514
12 of 468 | Loss: 0.1244378313422203
13 of 468 | Loss: 0.1305226981639862
14 of 468 | Loss: 0.13154268264770508
15 of 468 | Loss: 0.14416538178920746
16 of 468 | Loss: 0.12588465213775635
17 of 468 | Loss: 0.13279598951339722
18 of 468 | Loss: 0.1289794147014618
19 of 468 | Loss: 0.12391635775566101
20 of 468 | Loss: 0.1378251612186432
21 of 468 | Loss: 0.12054025381803513
22 of 468 | Loss: 0.13048075139522552
23 of 468 | Loss: 0.139740988612175
24 of 468 | Loss: 0.1391223967075348
25 of 468 | Loss: 0.1274108588695526
26 of 468 | Loss: 0.13266576826572418
27 of 468 | Loss: 0.13103727996349335
28 of 468 | Loss: 0.1209571585059166
29 of 468 | Loss: 0.12323127686977386
30 of 468 | Loss: 0.1454584002494812
31 of 468 | Loss: 0.13910387456417084
32 of 468 | Loss: 0.12758435308933258
33 of 468 | Loss: 0.12698672711849213
34 of 468 | Loss: 0.1385704129934311
35 of 468 | Loss: 0.13896799087524414
36 of 468 | Loss: 0.13163892924785614
37 of 468 | Loss: 0.1430995762348175
38 of 468 | Loss: 0.13382335007190704
39 of 468 | Loss: 0.14967666566371918
40 of 468 | Loss: 0.15378542244434357
41 of 468 | Loss: 0.13708928227424622
42 of 468 | Loss: 0.12990513443946838
43 of 468 | Loss: 0.12968787550926208
44 of 468 | Loss: 0.13481032848358154
45 of 468 | Loss: 0.1252812147140503
46 of 468 | Loss: 0.13528776168823242
47 of 468 | Loss: 0.14154726266860962
48 of 468 | Loss: 0.1327926367521286
49 of 468 | Loss: 0.14517423510551453
50 of 468 | Loss: 0.12967851758003235
51 of 468 | Loss: 0.14270034432411194
52 of 468 | Loss: 0.1389002799987793
53 of 468 | Loss: 0.13265031576156616
54 of 468 | Loss: 0.12427230179309845
55 of 468 | Loss: 0.12677916884422302
56 of 468 | Loss: 0.12787343561649323
57 of 468 | Loss: 0.12650248408317566
58 of 468 | Loss: 0.13636581599712372
59 of 468 | Loss: 0.12687289714813232
60 of 468 | Loss: 0.14546851813793182
61 of 468 | Loss: 0.12345333397388458
62 of 468 | Loss: 0.14050966501235962
63 of 468 | Loss: 0.1290920078754425
64 of 468 | Loss: 0.1296425312757492
65 of 468 | Loss: 0.13148681819438934
66 of 468 | Loss: 0.12906301021575928
67 of 468 | Loss: 0.12974146008491516
68 of 468 | Loss: 0.13044247031211853
69 of 468 | Loss: 0.12764872610569
70 of 468 | Loss: 0.12616266310214996
71 of 468 | Loss: 0.12666746973991394
72 of 468 | Loss: 0.1308755874633789
73 of 468 | Loss: 0.1236945390701294
74 of 468 | Loss: 0.12348365783691406
75 of 468 | Loss: 0.12388747930526733
76 of 468 | Loss: 0.11998721212148666
77 of 468 | Loss: 0.12696179747581482
78 of 468 | Loss: 0.13662761449813843
79 of 468 | Loss: 0.1287926286458969
80 of 468 | Loss: 0.12426908314228058
81 of 468 | Loss: 0.14289216697216034
82 of 468 | Loss: 0.13125982880592346
83 of 468 | Loss: 0.1258852779865265
84 of 468 | Loss: 0.12462934106588364
85 of 468 | Loss: 0.12935443222522736
86 of 468 | Loss: 0.1312088668346405
87 of 468 | Loss: 0.12920024991035461
88 of 468 | Loss: 0.12203224003314972
89 of 468 | Loss: 0.12312828004360199
90 of 468 | Loss: 0.11976733058691025
91 of 468 | Loss: 0.12146037817001343
92 of 468 | Loss: 0.12646403908729553
93 of 468 | Loss: 0.13937747478485107
94 of 468 | Loss: 0.12834428250789642
95 of 468 | Loss: 0.13252174854278564
96 of 468 | Loss: 0.12712033092975616
97 of 468 | Loss: 0.151899516582489
98 of 468 | Loss: 0.1254783570766449
99 of 468 | Loss: 0.13057464361190796
100 of 468 | Loss: 0.11977748572826385
101 of 468 | Loss: 0.1219271644949913
102 of 468 | Loss: 0.11647119373083115
103 of 468 | Loss: 0.13718673586845398
104 of 468 | Loss: 0.12848788499832153
105 of 468 | Loss: 0.12825797498226166
106 of 468 | Loss: 0.1319197714328766
107 of 468 | Loss: 0.13688133656978607
108 of 468 | Loss: 0.12617138028144836
109 of 468 | Loss: 0.1310545653104782
110 of 468 | Loss: 0.12967437505722046
111 of 468 | Loss: 0.1373952031135559
112 of 468 | Loss: 0.12190018594264984
113 of 468 | Loss: 0.12900570034980774
114 of 468 | Loss: 0.13207092881202698
115 of 468 | Loss: 0.13100112974643707
116 of 468 | Loss: 0.12212276458740234
117 of 468 | Loss: 0.13316410779953003
118 of 468 | Loss: 0.12708503007888794
119 of 468 | Loss: 0.12910829484462738
120 of 468 | Loss: 0.12675230205059052
121 of 468 | Loss: 0.12328626960515976
122 of 468 | Loss: 0.12897121906280518
123 of 468 | Loss: 0.11932025849819183
124 of 468 | Loss: 0.1327827274799347
125 of 468 | Loss: 0.12350034713745117
126 of 468 | Loss: 0.1283036321401596
127 of 468 | Loss: 0.12335839867591858
128 of 468 | Loss: 0.12207575887441635
129 of 468 | Loss: 0.12386094033718109
130 of 468 | Loss: 0.12406711280345917
131 of 468 | Loss: 0.1181279867887497
132 of 468 | Loss: 0.1301209181547165
133 of 468 | Loss: 0.1419098675251007
134 of 468 | Loss: 0.13824832439422607
135 of 468 | Loss: 0.12947295606136322
136 of 468 | Loss: 0.13120350241661072
137 of 468 | Loss: 0.12919577956199646
138 of 468 | Loss: 0.12033601850271225
139 of 468 | Loss: 0.1176796406507492
140 of 468 | Loss: 0.13428084552288055
141 of 468 | Loss: 0.1225285530090332
142 of 468 | Loss: 0.12654536962509155
143 of 468 | Loss: 0.12976080179214478
144 of 468 | Loss: 0.1265200823545456
145 of 468 | Loss: 0.12849849462509155
146 of 468 | Loss: 0.12463562190532684
147 of 468 | Loss: 0.12770836055278778
148 of 468 | Loss: 0.12434084713459015
149 of 468 | Loss: 0.12076754868030548
150 of 468 | Loss: 0.13161537051200867
151 of 468 | Loss: 0.12486495822668076
152 of 468 | Loss: 0.12218958139419556
153 of 468 | Loss: 0.12681035697460175
154 of 468 | Loss: 0.14069724082946777
155 of 468 | Loss: 0.1340717375278473
156 of 468 | Loss: 0.14026084542274475
157 of 468 | Loss: 0.1354471743106842
158 of 468 | Loss: 0.1267073154449463
159 of 468 | Loss: 0.12327446788549423
160 of 468 | Loss: 0.12375664710998535
161 of 468 | Loss: 0.12305589765310287
162 of 468 | Loss: 0.12406599521636963
163 of 468 | Loss: 0.13418161869049072
164 of 468 | Loss: 0.1247391328215599
165 of 468 | Loss: 0.12799015641212463
166 of 468 | Loss: 0.12152956426143646
167 of 468 | Loss: 0.12719176709651947
168 of 468 | Loss: 0.12379646301269531
169 of 468 | Loss: 0.11775796115398407
170 of 468 | Loss: 0.12475523352622986
171 of 468 | Loss: 0.1194363385438919
172 of 468 | Loss: 0.11704838275909424
173 of 468 | Loss: 0.11578577756881714
174 of 468 | Loss: 0.128177672624588
175 of 468 | Loss: 0.12801674008369446
176 of 468 | Loss: 0.13006269931793213
177 of 468 | Loss: 0.1262476146221161
178 of 468 | Loss: 0.11869337409734726
179 of 468 | Loss: 0.13443580269813538
180 of 468 | Loss: 0.13140307366847992
181 of 468 | Loss: 0.12692402303218842
182 of 468 | Loss: 0.12430219352245331
183 of 468 | Loss: 0.13195137679576874
184 of 468 | Loss: 0.1393718123435974
185 of 468 | Loss: 0.13241180777549744
186 of 468 | Loss: 0.12380056828260422
187 of 468 | Loss: 0.120525062084198
188 of 468 | Loss: 0.12747859954833984
189 of 468 | Loss: 0.12598788738250732
190 of 468 | Loss: 0.12393392622470856
191 of 468 | Loss: 0.12330208718776703
192 of 468 | Loss: 0.12906058132648468
193 of 468 | Loss: 0.13588173687458038
194 of 468 | Loss: 0.1360991895198822
195 of 468 | Loss: 0.12428207695484161
196 of 468 | Loss: 0.12580925226211548
197 of 468 | Loss: 0.1359802484512329
198 of 468 | Loss: 0.12282651662826538
